title,author,barcode,subjects
The Christian philosophy of Saint Augustine.,"Gilson, Etienne, 1884-1978.",33027001257140,"Augustine, Saint, Bishop of Hippo.;God"
"Go down, Moses.","Faulkner, William, 1897-1962.",33027001256993,
Witchcraft in the Middle Ages.,"Russell, Jeffrey Burton.",33027001373475,Witchcraft
Catal Huyuk: a neolithic town in Anatolia.,"Mellaart, James.",33027001266000,Çatal Mound (Turkey)
Shinto; at the fountain-head of Japan.,"Herbert, Jean, 1897-1980.",33027001261183,Shinto.
The Mexican War--was it manifest destiny?,"Ruiz, Ramón Eduardo.",33027001258304,"Mexican War, 1846-1848"
The religion of Isaac Newton /,"Manuel, Frank Edward.",33027000337240,"Newton, Isaac, Sir,"
Theory of colours.,"Goethe, Johann Wolfgang von, 1749-1832.",33027000336549,Color.
Woman's nature : rationalizations of inequality /,,33027000605075,Women;Equality.;Feminism.;Rationalization (Psychology)
Aristotle's Politics /,Aristotle.,33027006424364,Political science
You get so alone at times that it just makes sense /,"Bukowski, Charles.",33027005293521,
Helen Hunt Jackson /,"Whitaker, Rosemary.",33027001288772,"Jackson, Helen Hunt,;American literature"
Selected letters /,"García Lorca, Federico, 1898-1936.",33027000605174,"García Lorca, Federico,;Authors, Spanish"
"The knight, the lady, and the priest : the making of modern marriage in medieval France /","Duby, Georges.",33027000605182,Marriage;Marriage;Social history
A pictorial history of costume; a survey of costume of all periods and peoples from antiquity to modern times including national costume in Europe and non-European countries,"Bruhn, Wolfgang.",33027004637207,Costume
Bestiario.,"Cortázar, Julio.",33027001257686,
Critique of practical reason and other writings in moral philosophy.,"Kant, Immanuel, 1724-1804.",33027001259435,Ethics.
"The Delphic oracle,","Parke, H. W. (Herbert William), 1903-1986.",33027001204340,Delphian oracle.
"Ants : their structure, development and behavior /","Wheeler, William Morton, 1865-1937.",33027001206683,Ants.
"Theodore Roethke; essays on the poetry,","Stein, Arnold Sidney, 1915-",33027000406987,"Roethke, Theodore,"
"The age of the great depression, 1929-1941 /","Wecter, Dixon, 1906-1950.",33027001288483,Depressions;United States;United States;United States;United States
"The proper lady and the woman writer : ideology as style in the works of Mary Wollstonecraft, Mary Shelley, and Jane Austen /","Poovey, Mary.",33027000605448,"Wollstonecraft, Mary,;Shelley, Mary Wollstonecraft,;Austen, Jane,;English literature;English literature;Women in literature.;Sex role in literature.;Social ethics in literature."
The art and architecture of China,"Sickman, L. C. S. (Laurence C. S.)",33027002181018,Art;Architecture
La peste /,"Camus, Albert, 1913-1960.",33027001198617,
The History and origins of Druidism.,"Spence, Lewis, 1874-1955.",33027004964072,Druids and druidism.
Bridges and how they are built.,"Goldwater, Daniel.",33027001267149,Bridges
"Medieval costume and life; a review of their social aspects arranged under various classes and workers with instructions for making numerous types of dress,","Hartley, Dorothy.",33027001256134,"Costume;Costume;Civilization, Medieval.;Great Britain"
Selected poems.,"Pound, Ezra, 1885-1972.",33027001256878,
